id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
4-27,m2-m7-P5-m7,"1 10 7 10",4-27I,4-27I,false,,4-18,8,true,84,11
4-27I,M2-P4-M2-M7,"2 5 2 11",4-27,4-27,false,,4-18,8,true,60,11
4-28,M2-m3-M2-M6,"2 3 2 9",4-28I,4-28I,false,,4-19,8,true,48,11
4-28I,m3-m7-M6-m7,"3 10 9 10",4-28,4-28,false,,4-19,8,true,96,11
4-29,M2-m3-A4-P4,"2 3 6 5",4-29I,4-33I,false,,4-20,16,false,48,11
4-29I,A4-P5-m7-M6,"6 7 10 9",4-29,4-33,false,,4-20,16,false,96,11
4-30,M2-m3-A4-M6,"2 3 6 9",4-30I,4-38I,false,,4-21,16,false,60,11
4-30I,m3-m7-M6-A4,"3 10 9 6",4-30,4-38,false,,4-21,16,false,84,11
4-31,M2-m3-m7-P4,"2 3 10 5",4-31I,4-35I,false,,4-22,16,false,60,11
4-31I,M2-P5-m7-M6,"2 7 10 9",4-31,4-35,false,,4-22,16,false,84,11
4-32,M2-P4-M2-P5,"2 5 2 7",4-32I,4-32I,false,,4-23,8,true,48,11
4-32I,P4-m7-P5-m7,"5 10 7 10",4-32,4-32,false,,4-23,8,true,96,11
4-33,M2-P4-A4-m3,"2 5 6 3",4-33I,4-29I,false,,4-20,16,false,48,11
4-33I,A4-M6-m7-P5,"6 9 10 7",4-33,4-29,false,,4-20,16,false,96,11
4-34,M2-P4-A4-P5,"2 5 6 7",4-34I,4-37I,false,,4-24,16,false,60,11
4-34I,P4-m7-P5-A4,"5 10 7 6",4-34,4-37,false,,4-24,16,false,84,11
4-35,M2-P4-m7-m3,"2 5 10 3",4-35I,4-31I,false,,4-22,16,false,60,11
4-35I,M2-M6-m7-P5,"2 9 10 7",4-35,4-31,false,,4-22,16,false,84,11
4-36,M2-P5-M2-M6,"2 7 2 9",4-36I,4-36I,false,,4-25,8,true,60,11
4-36I,m3-m7-P4-m7,"3 10 5 10",4-36,4-36,false,,4-25,8,true,84,11
4-37,M2-P5-A4-P4,"2 7 6 5",4-37I,4-34I,false,,4-24,16,false,60,11
4-37I,P4-A4-P5-m7,"5 6 7 10",4-37,4-34,false,,4-24,16,false,84,11
4-38,M2-M6-A4-m3,"2 9 6 3",4-38I,4-30I,false,,4-21,16,false,60,11
4-38I,m3-A4-M6-m7,"3 6 9 10",4-38,4-30,false,,4-21,16,false,84,11
4-39,m3-m3-m3-P5,"3 3 3 7",4-39I,4-39I,false,,4-26,8,true,48,11
4-39I,P4-M6-M6-M6,"5 9 9 9",4-39,4-39,false,,4-26,8,true,96,11
4-40,m3-m3-P5-P5,"3 3 7 7",4-40I,4-40I,false,,4-27,8,true,60,11
4-40I,P4-P4-M6-M6,"5 5 9 9",4-40,4-40,false,,4-27,8,true,84,11
4-41,m3-A4-P4-A4,"3 6 5 6",4-41I,4-41I,false,,4-28,8,true,60,11
4-41I,A4-P5-A4-M6,"6 7 6 9",4-41,4-41,false,,4-28,8,true,84,11
4-42,m3-P5-m3-P5,"3 7 3 7",4-42I,4-42I,true,m3-P5,,4,true,60,11
4-42I,P4-M6-P4-M6,"5 9 5 9",4-42,4-42,true,P4-M6,,4,true,84,11
4-43,P4-P4-P4-P4,"5 5 5 5",4-43I,4-43I,true,P4,,2,true,60,11
4-43I,P5-P5-P5-P5,"7 7 7 7",4-43,4-43,true,P5,,2,true,84,11
